Username,#Post,#Followers,Last_Photo,Phone_1,Biography
tenismedellin100,37,443,17-Nov-17,3216158342,Tenis 100 importados Compra segura Los mejores precios Al por mayor y detal Envíos a todo el país  Wapp3216158342 contra entrega en medellin
damicalzado,789,13.5k,17-May-18,31143643053,Calzado para dama  Tel 311 43 64 Ventas por Whatsapp 305 3043324 MedellínSMS whatsapp link apiwhatsappcomsendphone
medellininstyle,698,13.3k,2-May-18,3192434920,tienda virtual por eso te damos los mejores precios d la cuidad medellin col Inf 3192434920 felipe Rpo
calzadobrandm,"2,690","7,691",17-May-18,3015167406,Tienda virtual Domicilio gratis en Medellín y envíos a toda Colombia  WhatsApp  3015167406 Ventas al por mayor y al detal Escríbenos 
malvatienda,516,28.5k,18-May-18,31520793943,Tienda de Ropa Medellín 3152079394  3006733944
ducandduc,56,404,17-May-18,,Calzado infantil para ti y tu hija envíos nacionales  pago contra entrega lunes a viernes 800am6pm Medellin enlace directo a whatsapp 
caduto,545,"7,494",17-May-18,,Marroquineria y Calzado 100 en Cuero
ropa_tienda_rosa,61,164,17-May-18,3216391552,Ropa zapatos y accesorios de mujer  Pedidos Whatsapp 3216391552 Envíos a todo Colombia  Complex Llanogrande  Tienda Rosa Objetos
mangobicheboutique1,"3,841",128k,18-May-18,37105435203,Tienda de ropa femenina  Crr 37 1054Medellin No se vende por mayor 3520326 5731082040993023361163 Art en promo no tienen cambio 
audithorestore,766,166,18-May-18,3008531288,Medellín  Colombia  whatssap 3008531288 Escribenos al DM   Envios a todo el país
711_medellin,30,123,17-May-18,,Tienda virtual Productos de excelente calidad Garantizado Todo lo que necesitas al mejor precio SIGUENOS EN FACEBOOK 
lufe_shop_,259,146,17-May-18,,MEDELLÍN Envios a todo Colombia 
pixyonlinestore,165,477,17-May-18,,Lo que se te antoje en una sola
baletasbonitas,"2,196","2,146",17-May-18,30137004283,Baletas cocacolos pisa huevos y sleepers Whatsapp 3013700428 3113902213
morazulzapatos,187,256,17-May-18,3166929325,Merecemos zapatos nuevos Zapatos personalizados a tu gusto a tu medida 316 692 93 25 morazulzapatoshotmailcom Envíos a todo Colombia
