Username,#Post,#Followers,Last_Photo,Phone_1,Phone_2,Phone_3,Biography,Link
ale.queenaccesorios,"1,135","8,178",28-Jun-18,,,,Tienda Online            Envío Nacionales  Domicilios en Medellín    Medellín  Colombia,m.facebook.com/ale.queenaccesorios/?ref=bookmarks
cerezaaccesoriosbyad,"1,356","7,294",29-Jun-18,,,,Jewelry Tienda Online   58 412 8989373 Envíos a Nivel Nacional e Internacional  Visítanos en a classnotranslate hrefangelalopezorfebreangelalopezorfebrea,No link
fortunattaccesorios,95,"80,099",30-May-18,,,3147263169,By a classnotranslate hrefmg059mg059a  MedellinHandmadeBrand  Ventas al por mayor aumenta tus ingresos  Click y compra,api.whatsapp.com/send?phone=573147263169
blossom.accessories8006,217,"7,767",30-Jun-17,3003286188,,,Lindos accesorios de fantasía fina a los mejores precios importados desde New York  Wpp 3003286188 Envíos a todo el país Medellín  Colombia,No link
zafirostoree,79,225,29-Jun-18,,,,Tienda virtual  Un universo único y novedoso Por  a classnotranslate hrefsarahproblessarahproblesa,No link
katrinashopmedellin,66,"28,644",15-Jun-18,3008544129,,,Para las fanaticas de los aretes exóticos y con mucho estilo  Domicilios en Medellin  Envíos al resto del país  Inf whatsapp 3008544129 ,api.whatsapp.com/send?phone=573008544129
landy_accesorios,225,"1,613",28-Jun-18,3148691389,,,Ventas Al Por Mayor Y Detal Envíos  nacionales  Oro goldfied Tienda virtual  Wsp 3148691389 ItaguiAnt  seguro,api.whatsapp.com/api/send?phone=573148691389
brazzcolombia,220,"3,474",29-Jun-18,,,,Accesorios Gold Filled Ventas al por mayor y al detal en tiendas mayoristas Contáctanos  ,www.roeljoyas.com
kuberaaccesorios,"1,304","2,523",29-Jun-18,3030060882,,3006088259, Somos fabricantes  Ventas al por mayor y al detal   P De Venta 2pm 730 pm  3006088259 Escríbenos  Envíos a todo el país  Búscanos en,api.whatsapp.com/send?phone=573006088259
kausscolombia,218,"2,557",29-Jun-18,,,,Acero Inoxidable Ventas al por mayor Ventas Al detal en tiendas  Contactanos ,www.roeljoyas.com
fiorentina_tienda_ropa,"1,846","6,756",28-Jun-18,3106800760,3012187309,,Somos una marca de ropa nacional y Europea y accesorios Ventas al x mayor y al detal  envíos a todo el país   seguro   31068007603012187309,api.whatsapp.com/send?phone=3106800760
piedra_sol,280,"1,424",29-Jun-18,3147618813,3217068449,,Los mejores accesorios elaborados a mano   Integra cada parte de ti cree y haz que suceda  Envíos a todo el país  3147618813  3217068449,www.facebook.com/PiedraSol.07
relojesvyper_barranquilla,146,"8,742",29-Jun-18,,,3142268898, Cuál es tu Estilo Marca la Diferencia  Compra 100 Segura   Envíos a cualquier lugar   Distribuye nuestra marca   Whatsapp  ,api.whatsapp.com/send?phone=573142268898
pasion_accesorios,96,584,29-Jun-18,3148691389,,,Tienda Virtual Medellín  Envíos Nacionales Ventas Al Por Mayor Y Detal  WhatsApp  3148691389 a class hrefexploretagspasionaccesoriospasionaccesoriosa,No link
ayatta.accesorios,36,62,28-Jun-18,,,,RELOJESGAFASBISUTERÍAARTÍCULOS DE MODA   Tienda virtual Medellín Envíos a todo el país   Compra  segura  Pedidos Whatsapp 311,No link
