Username,#Post,#Followers,Last_Photo,Phone_1,Phone_2,Biography,Link
anelytienda,"1,348",704,26-Jun-18,3132784767,3103879382,TejidosAccesorios RelojTennis anelytienda  Envíos a toda Colombia  Domicilio Gratis en Medellín Info y Pedidos  3132784767  3103879382,anelytienda.mercadoshops.com.co
sermed_salud,110,"1,188",27-Jun-18,3052946824,,Encuentra aquí  variedad de productos para el cuidado de tu cuerpo y tu saludenviamos a todo el país  Whatsapp 3052946824,No link
styleurbanm,81,168,25-Jun-18,3126305652,3228310488,Ventas al Mayor y al Detal Whatsapp3126305652584244368162 Llamadas 3228310488 ubicados en Medellín Tienda virtual Entregas en todo el país ,No link
tennisshop.medellin,108,"3,816",22-Jun-18,,,Mercancía importada,No link
andresvn20,887,"1,513",27-Jun-18,3216333830,,Calzado importado Ventas al por mayor y al detal Domicilios en Medellín Envíos a toda colombiawpp3216333830,api.whatsapp.com/send?phone=3216333830
vanegalo20,83,205,20-Jun-18,,,No biography,No link
awarala_store,40,777,26-Jun-18,3015190349,3004864333,Ventas al por mayor y al detal   Contáctanos  httpswwwfacebookcomawaralastore Pedidos 301 5190349,api.whatsapp.com/send?phone=573004864333
innamoratoaccesorios30,24,85,14-Jun-18,,,Distribuimos accesorios con estilo,No link
prisolconsultores.tatianamora,3,23,12-Jun-18,,3194263721,Te ofrecemos excelentes precios Ingresa a el link y pregunta el servicio que necesites,api.whatsapp.com/send?phone=573194263721
trukitosdeamor,227,"1,905",27-Jun-18,3218670211,,Personalizalos tu también Compras Online  Seguras  Pedidos  3218670211 Mugs  Camisetas Gorras Cojines Llaveros  Agendas,api.whatsapp.com/send?phone=573218670211
alhajas_de_papel,68,356,4-Jun-18,3146666240,,TALLER CREATIVO ALHAJAS DE PAPEL está dedicado al diseño y creación de piezas de Joyería artesanal y decoración en papel Contacto 57 3146666240,www.facebook.com/alhajasdepapel
isyolatiendavirtual,110,194,19-Jun-18,3205899475,,Tienda virtual donde encontrarás variedad de accesorios Domicilios en Medellín whatsapp 3205899475,No link
hamabeadsmedellin,17,65,28-May-18,,,Todos los diseños publicados estan disponibles  MedellinColombia,No link
amapola.01,43,506,13-Jun-18,,, Tienda online de artículos Medellín Colombia ,No link
ganascontucelular,20,286,14-May-18,,,SE PIONERO y gana el 100 de rentabilidad sin necesidad de VENDER Buscamos formadores de Equipos   Contactanos ,No link
leonardo_barreno,559,"2,940",26-Jun-18,,,Soy Punto fijo Paraguana  Venezuela vivo Colombia Medellín Ariano sentimental licturismo,No link
semplicita_colombia,41,342,18-Jun-18,,3015788485,Semplicita  Ropa Cómoda y de Calidad ENVÍOS TODA COLOMBIA PAGO CONTRA ENTREGA MEDELLÍN NO CAMBIOSDEVOLUCIONES PEDIDOS ,api.whatsapp.com/send?phone=573015788485
clothesexpress,"1,840","2,533",27-Jun-18,,3154070851,ROPA MODA ESTILO   Tienda multimarcas compra 100 segura Entrega inmediata,api.whatsapp.com/send?phone=573154070851
mystikosuniverso,818,"2,817",27-Jun-18,3042449629,,Te diseño cofres llenos de magia con mandalas y más whatsapp 3042449629   Color   vida   pets   rock    mujeresvalientes ,www.facebook.com/MystikosUniverso
velvet.essentials,106,"2,361",26-Jun-18,3104542630,,Accesorios  FeminidadEstiloDelicadeza Ventas por mayordetal 3104542630  By Colombian hands  Envíos a todo el país MedellínAntioquiau ces,No link
estilo.d.vida,73,259,18-Apr-18,3116495029,,Basados en lo mejor de la ciencia y naturalezanuestros productos innovadores harán que ames tu piel rejuvenecida 30 días de garantía 3116495029,No link
fuckclore,151,"1,460",27-Jun-18,3012836946,,Dress your bad feelings 30128369463005739871 Ventas por mayor y detal Domicilios  Envios a todo el país,No link
doitmedellin,93,"6,132",20-Jun-18,3215719507,,TODO el entretenimiento de la ciudad Restaurantes Bares Discotecas Conciertos  Publicidad 573215719507  doitmedellin,api.whatsapp.com/send?phone=573215719507
convertidor_tv_box,5,12,5-May-18,,,Venta de artículos electrónicos todo lo relacionado con gadgets y hobbies Domicilios solo en Medellín,No link
districasemedellin,309,"2,828",23-Jun-18,3013770919,,Distribuidores De Accesorios Para Celulares Ventas Al por Mayor y al Detal Envíos a todo el país  wp 3013770919 Adm yosoybrian ,m.facebook.com/home.php
loscacharrosde,12,45,31-Mar-18,,,Ingresa a mi sitio web y antojate que yo estoy para complacerte,www.dropbox.com/sh/5kkc07scbo63cci/AAAns_xaq3NxfFbhQPXCQkYJa?dl=0
lipobluee_medellin,"3,428","203,572",27-Jun-18,3222161028,, Todo lo que necesitas mujer Envíos a todo destino  Whatsapp 322 216 10 28 Clic para dirigirte a mi wpp,api.whatsapp.com/send?phone=573222161028
karenheciramaldonadoperez,43,114,14-Mar-18,3103763620,,Tienda virtual KARENS Tú presencia mi tendencia Envíos nacionales e internacionales info al privado   WhatsApp 573103763620,No link
morfina_fina_store,23,90,2-Apr-18,3013236230,,Tienda de calzado Y marca de ropa en gestación  Apuntamos a los estilos clásicos y juveniles Calzado importado y nacional WhatsApp 3013236230,No link
