Username,#Post,#Followers,Last_Photo,Phone_1,Phone_2,Phone_3,Biography,Link
ale.queenaccesorios,"1,135","8,178",28-Jun-18,,,,Tienda Online            Envío Nacionales  Domicilios en Medellín    Medellín  Colombia,m.facebook.com/ale.queenaccesorios/?ref=bookmarks
cerezaaccesoriosbyad,"1,354","7,288",28-Jun-18,,,,Jewelry Tienda Online   58 412 8989373 Envíos a Nivel Nacional e Internacional  Visítanos en a classnotranslate hrefangelalopezorfebreangelalopezorfebrea,No link
fortunattaccesorios,95,"80,116",30-May-18,,,3147263169,By a classnotranslate hrefmg059mg059a  MedellinHandmadeBrand  Ventas al por mayor aumenta tus ingresos  Click y compra,api.whatsapp.com/send?phone=573147263169
blossom.accessories8006,217,"7,766",30-Jun-17,3003286188,,,Lindos accesorios de fantasía fina a los mejores precios importados desde New York  Wpp 3003286188 Envíos a todo el país Medellín  Colombia,No link
zafirostoree,74,223,26-Jun-18,,,,Tienda virtual  Un universo único y novedoso Por  a classnotranslate hrefsarahproblessarahproblesa,No link
katrinashopmedellin,66,"28,654",15-Jun-18,3008544129,,,Para las fanaticas de los aretes exóticos y con mucho estilo  Domicilios en Medellin  Envíos al resto del país  Inf whatsapp 3008544129 ,api.whatsapp.com/send?phone=573008544129
landy_accesorios,225,"1,610",28-Jun-18,3148691389,,,Ventas Al Por Mayor Y Detal Envíos  nacionales  Oro goldfied Tienda virtual  Wsp 3148691389 ItaguiAnt  seguro,api.whatsapp.com/api/send?phone=573148691389
brazzcolombia,219,"3,473",28-Jun-18,,,,Accesorios Gold Filled Ventas al por mayor y al detal en tiendas mayoristas Contáctanos  ,www.roeljoyas.com
kuberaaccesorios,"1,302","2,516",28-Jun-18,3030060882,,3006088259, Somos fabricantes  Ventas al por mayor y al detal   P De Venta 2pm 730 pm  3006088259 Escríbenos  Envíos a todo el país  Búscanos en,api.whatsapp.com/send?phone=573006088259
kausscolombia,216,"2,583",28-Jun-18,,,,Acero Inoxidable Ventas al por mayor Ventas Al detal en tiendas  Contactanos ,www.roeljoyas.com
fiorentina_tienda_ropa,"1,846","6,757",28-Jun-18,3106800760,3012187309,,Somos una marca de ropa nacional y Europea y accesorios Ventas al x mayor y al detal  envíos a todo el país   seguro   31068007603012187309,api.whatsapp.com/send?phone=3106800760
piedra_sol,278,"1,417",28-Jun-18,3147618813,3217068449,,Los mejores accesorios elaborados a mano   Integra cada parte de ti cree y haz que suceda  Envíos a todo el país  3147618813  3217068449,www.facebook.com/PiedraSol.07
relojesvyper_barranquilla,144,"8,708",28-Jun-18,,,3142268898, Cuál es tu Estilo Marca la Diferencia  Compra 100 Segura   Envíos a cualquier lugar   Distribuye nuestra marca   Whatsapp  ,api.whatsapp.com/send?phone=573142268898
pasion_accesorios,95,583,28-Jun-18,3148691389,,,Tienda Virtual Medellín  Envíos Nacionales Ventas Al Por Mayor Y Detal  WhatsApp  3148691389 a class hrefexploretagspasionaccesoriospasionaccesoriosa,No link
ayatta.accesorios,36,62,28-Jun-18,,,,RELOJESGAFASBISUTERÍAARTÍCULOS DE MODA   Tienda virtual Medellín Envíos a todo el país   Compra  segura  Pedidos Whatsapp 311,No link
disenio_lunada,"2,737","6,122",28-Jun-18,,,,Delicate Handmade Accessories  Follow a classnotranslate hreflunadalimitedlunadalimiteda  Worldwide shipping  Venezuela 584127123487  diseniolunadagmailcom,www.facebook.com/Disenio.Lunada
simplementedivino,"1,543","7,634",28-Jun-18,3146787598,,,En cada una de nuestras piezas tenemos una historia para contarte  ShowrroomVia Primavera 57 3146787598,No link
sunmarketoficial,148,507,28-Jun-18,3007804020,,,Lugares Soñados Amantes del Verano Publicidad para Prendas y   Accesorios de Mujer MedellinColombia Contacto  3007804020,No link
import_sc,169,943,28-Jun-18,,,3113623917,Tienda virtual  Variedad en productos   Envíos a todo el país Pago contra entrega No se aceptan LLAMADAS  Whatsapp directo a class hrefexploretagsimportscimportsca,api.whatsapp.com/send?l=es&amp;phone=573113623917
accesoriosfemm,97,421,28-Jun-18,3006030304,,,Hecho a mano compra colombiano 300 603 0304 Envíos nacionales a class hrefexploretagsmedellínMedellína  pedidos WhatsApp Encuentra todos los precios en nuestro Facebook ,www.facebook.com/femm.accesorios
waraaccesorios,287,"1,415",28-Jun-18,3003069506,,,Marca creada pensando en la innovación para la mujer Envíos  a toda Colombia WhatsApp57 3003069506 contáctanos enlace al WhatsAppa class hrefexploretagswaraaccesorioswaraaccesoriosa,api.whatsapp.com/send?phone=573003069506
creaciones_tai,184,"4,816",28-Jun-18,3113192886,,,Línea de accesorios en piedras naturales Conexión con la belleza y sabiduría de los cristales  wapp 3113192886 a classnotranslate hreftainaperezariastainaperezariasa MedellinColombia,No link
mistica_estilo,"1,678","1,213",28-Jun-18,3193889464,,,Tienda Virtual 3193889464  a class hrefexploretagsaccesoriosAccesoriosa personalizados por mayor y detal Servicio a class hrefexploretagsestampaciónestampacióna y a class hrefexploretagsmodisteríamodisteríaa  No es lo que usas es tu esencia,m.facebook.com/misticaklere11
trevestuario,335,"2,680",28-Jun-18,3182152809,,,Tienda Virtual  Accesorios y prendas  Hecho con amor Apoya lo local  Envíos a todo el país  573182152809 a class hrefexploretagstrévestuariotrévestuarioa a class hrefexploretagsyosoytrévestuarioyosoytrévestuarioa,No link
julianacarcamoaccesorios,10,"1,962",28-Jun-18,,,3017769351, Amor por lo que haces Bisuteria  MedellínColombia PRÓXIMAMENTE,api.whatsapp.com/send?phone=573017769351&amp;text=Hola+como+vas
anelytienda,"1,366",704,28-Jun-18,3132784767,3103879382,,TejidosAccesorios RelojTennis a class hrefexploretagsanelytiendaanelytiendaa   Envíos a toda Colombia   Domicilio Gratis en Medellín Info y Pedidos  3132784767  3103879382,anelytienda.mercadoshops.com.co
accesoriosonlinemedellin,268,"31,282",28-Jun-18,3113734900,,,Domicilios Medellin y envíos nacionales  tienda  online what 3113734900 Facebook  Accesorios online Medellín Ventas por unidad y al por ma,No link
petulante_store,9,135,28-Jun-18,3104576318,,,Tienda virtual Excelente calidad Mercancía 100 GARANTIZADA Pago contra entrega  Domicilio gratis área metropolitana WhatsApp3104576318,No link
accesorios.mia.20,770,"1,662",27-Jun-18,3053208007,,,Balacas corbatines accesorios     Personaliza como quieras   WhatsApp 3053208007 Envíos Nacionales  a classnotranslate hrefmiabeautyshopmiabeautyshopa  a classnotranslate hreflaboutiquedemia20laboutiquedemia20a,api.whatsapp.com/send?phone=573053208007
mariaepalacioacces,134,131,27-Jun-18,,,3205502585,Bienvenidos Hecho a mano Hecho con amor Facebook Maria E Palacio Envios a toda Colombia MedellinCartagena Escribenos al Whatsaap,api.whatsapp.com/send?phone=573205502585
deseomagico12,229,936,28-Jun-18,,,3053939195,Descubre la magia que tenemos para ti Accesorios Maquillaje Jabones naturales Domicilios y Envios  Escribenos al Whatsapp a class hrefexploretagsunmundodemagiaunmundodemagiaa,api.whatsapp.com/send?phone=573053939195
perlatto_accesorios,"1,403","3,589",27-Jun-18,,,3003673425,Tienda VirtualTodo para  MedellinColombia  Envíos a todo el país  Domicilios en Medellin  WhatsApp no llamadas Haz click,api.whatsapp.com/send?phone=573003673425
indigo.store_,44,554,28-Jun-18,3117396028,,, Tienda virtual         Ropa        Accesorios  Whatsapp 3117396028  Direct  Entregas en Medellín  Envíos a otras ciudades,No link
bm_accesorios15,296,786,28-Jun-18,3006053705,,, Accesorios hechos a mano en Colombia  Fabricamos para tu marca  Tienda online  Envíos a todo el pais  WhatsApp 3006053705,api.whatsapp.com/send?phone=3006053705
diamondboutiquemedellin,72,92,27-Jun-18,3108207413,,,Todas las marcas Medellin colombia Domicilios en Medellin  Whatsapp 3108207413 ,No link
tornasoljoyas,31,381,27-Jun-18,3113592345,3122545795,,a class hrefexploretagsjoyasJoyasa inspiradas en la maravillosa diversidad de a class hrefexploretagsavesavesa de Colombia   3113592345  Wp 3122545795 Envíos a toda Colombia,No link
mariac_jewelry,31,426,27-Jun-18,3153971168,,,Handmade Fashion Jewelry WhatsApp 315 3971168  Bogotá  Envíos a todo el país,No link
